Title,Author,Genre,Height,Publisher,image_url
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,Sci-fi,2792775,2008,https://images.gr-assets.com/books/1447303603m/2767052.jpg
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",Sci-fi,4640799,1997,https://images.gr-assets.com/books/1474154022m/3.jpg
"Twilight (Twilight, #1)",Stephenie Meyer,Sci-fi,3212258,2005,https://images.gr-assets.com/books/1361039443m/41865.jpg
To Kill a Mockingbird,Harper Lee,Sci-fi,3275794,1960,https://images.gr-assets.com/books/1361975680m/2657.jpg
The Great Gatsby,F. Scott Fitzgerald,Sci-fi,245494,1925,https://images.gr-assets.com/books/1490528560m/4671.jpg
The Fault in Our Stars,John Green,Sci-fi,16827462,2012,https://images.gr-assets.com/books/1360206420m/11870085.jpg
The Hobbit,J.R.R. Tolkien,Sci-fi,1540236,1937,https://images.gr-assets.com/books/1372847500m/5907.jpg
The Catcher in the Rye,J.D. Salinger,Sci-fi,3036731,1951,https://images.gr-assets.com/books/1398034300m/5107.jpg
"Angels & Demons  (Robert Langdon, #1)",Dan Brown,Sci-fi,3338963,2000,https://images.gr-assets.com/books/1303390735m/960.jpg
Pride and Prejudice,Jane Austen,Sci-fi,3060926,1813,https://images.gr-assets.com/books/1320399351m/1885.jpg
The Kite Runner,Khaled Hosseini,Sci-fi,3295919,2003,https://images.gr-assets.com/books/1484565687m/77203.jpg
"Divergent (Divergent, #1)",Veronica Roth,Sci-fi,13155899,2011,https://images.gr-assets.com/books/1328559506m/13335037.jpg
1984,"George Orwell, Erich Fromm, Celâl Üster",Sci-fi,153313,1949,https://images.gr-assets.com/books/1348990566m/5470.jpg
Animal Farm,George Orwell,Sci-fi,2207778,1945,https://images.gr-assets.com/books/1424037542m/7613.jpg
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Sci-fi,3532896,1947,https://images.gr-assets.com/books/1358276407m/48855.jpg
"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",Sci-fi,1708725,2005,https://images.gr-assets.com/books/1327868566m/2429135.jpg
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,Sci-fi,6171458,2009,https://images.gr-assets.com/books/1358273780m/6148028.jpg
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",Sci-fi,2402163,1999,https://images.gr-assets.com/books/1499277281m/5.jpg
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,Sci-fi,3204327,1954,https://images.gr-assets.com/books/1298411339m/34.jpg
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,Sci-fi,8812783,2010,https://images.gr-assets.com/books/1358275419m/7260188.jpg
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",Sci-fi,2809203,2003,https://images.gr-assets.com/books/1387141547m/2.jpg
